C26,C45,C85,S26,S45,S86
-0.2765818,-0.232936,-0.2329515,-0.2803064,-0.2366912,-0.2366683
-0.2750259,-0.231689,-0.2316981,-0.2787361,-0.2354238,-0.2353977
-0.2733978,-0.2303611,-0.2303754,-0.277124,-0.2341112,-0.234085
-0.2717435,-0.2290136,-0.229018,-0.2754819,-0.2327655,-0.2327415
-0.2700667,-0.2276367,-0.2276367,-0.2738134,-0.2314073,-0.2313726
-0.2683668,-0.2262403,-0.2262437,-0.2721328,-0.2300254,-0.2300004
-0.2666508,-0.2248156,-0.2248189,-0.2704129,-0.2286108,-0.2285854
-0.2649148,-0.2233905,-0.2233886,-0.2686786,-0.2271853,-0.2271592
-0.2632249,-0.2219988,-0.2220014,-0.2669889,-0.2257937,-0.2257746
-0.2615604,-0.2206319,-0.220635,-0.2653447,-0.2244364,-0.2244209
-0.2598961,-0.2192666,-0.2192615,-0.2636845,-0.2230848,-0.2230728
-0.2582108,-0.2178822,-0.2178685,-0.2620145,-0.2217126,-0.2217045
-0.2565064,-0.2164797,-0.2164661,-0.2603278,-0.2203268,-0.2203138
-0.254796,-0.2150621,-0.2150517,-0.2586343,-0.2189366,-0.21892
-0.2530893,-0.2136504,-0.2136407,-0.2569456,-0.2175484,-0.2175312
-0.2513696,-0.2122404,-0.2122207,-0.2552447,-0.2161455,-0.2161348
-0.249645,-0.2108158,-0.2108071,-0.2535483,-0.2147394,-0.2147253
-0.2479155,-0.2093871,-0.2093804,-0.2518427,-0.2133317,-0.2133192
-0.246185,-0.2079546,-0.2079398,-0.2501241,-0.2119156,-0.2119064
-0.2444441,-0.206508,-0.2065104,-0.2484079,-0.2105015,-0.2104878
-0.2426956,-0.2050541,-0.2050725,-0.2466844,-0.2090749,-0.2090537
-0.2409389,-0.2036012,-0.2036131,-0.2449445,-0.2076438,-0.2076155
-0.2391744,-0.2021439,-0.2021591,-0.2432037,-0.2061987,-0.206175
-0.2374168,-0.2006785,-0.2006893,-0.2414539,-0.2047569,-0.2047311
-0.2356509,-0.1992175,-0.1992268,-0.2397093,-0.2033129,-0.2032851
-0.2338959,-0.197753,-0.1977723,-0.2379675,-0.2018708,-0.2018545
-0.2321321,-0.1962912,-0.1963106,-0.2362252,-0.2004403,-0.2004125
-0.2303752,-0.1948408,-0.1948491,-0.234502,-0.19901,-0.1989784
-0.2286281,-0.1933921,-0.1933985,-0.232765,-0.1975809,-0.1975533
-0.2268906,-0.1919427,-0.1919426,-0.2310439,-0.1961475,-0.1961318
-0.2251347,-0.1904922,-0.1904894,-0.2293113,-0.1947159,-0.1947014
-0.2233805,-0.1890377,-0.1890323,-0.227575,-0.1932774,-0.1932691
-0.221617,-0.1875778,-0.1875697,-0.2258334,-0.1918404,-0.1918344
-0.2198358,-0.186087,-0.1860998,-0.2240669,-0.1903719,-0.1903562
-0.2180269,-0.1845861,-0.1845951,-0.2222546,-0.1888484,-0.18884
-0.2162865,-0.183149,-0.1831556,-0.2204945,-0.187396,-0.1873828
-0.2146117,-0.1817641,-0.1817799,-0.2188053,-0.1860056,-0.1859975
-0.2129385,-0.1803973,-0.1804132,-0.2171386,-0.1846326,-0.1846323
-0.2112744,-0.1790383,-0.1790556,-0.2154841,-0.1832716,-0.1832778
-0.2096014,-0.1776653,-0.1776766,-0.213822,-0.1819077,-0.1819081
-0.2079253,-0.1762823,-0.1762933,-0.2121486,-0.1805366,-0.1805311
-0.206248,-0.1749127,-0.1749236,-0.2104852,-0.1791761,-0.1791664
-0.2045905,-0.1735555,-0.1735685,-0.2088473,-0.177839,-0.1778161
-0.2029346,-0.1721991,-0.1722141,-0.2072175,-0.1765027,-0.1764841
-0.201269,-0.1708392,-0.1708477,-0.2055831,-0.1751648,-0.1751426
-0.1995923,-0.1694539,-0.1694575,-0.2039271,-0.173797,-0.1737912
-0.1978911,-0.1680437,-0.1680601,-0.202247,-0.1724149,-0.1724053
-0.196181,-0.1666374,-0.1666511,-0.200562,-0.1710282,-0.1710134
-0.1944829,-0.1652411,-0.165251,-0.1988873,-0.1696534,-0.1696393
-0.1927987,-0.163842,-0.1638485,-0.197213,-0.1682869,-0.1682716
-0.1910897,-0.1624395,-0.1624451,-0.195544,-0.1669108,-0.1668957
-0.1893707,-0.16103,-0.1610285,-0.1938594,-0.1655303,-0.1655055
-0.1876489,-0.1596051,-0.1595941,-0.1921509,-0.1641259,-0.1640967
-0.1859176,-0.1581717,-0.1581657,-0.1904393,-0.1627116,-0.1626804
-0.1842282,-0.1567863,-0.1567791,-0.1887672,-0.1613452,-0.1613122
-0.1825668,-0.1554259,-0.1554231,-0.1871341,-0.1600099,-0.159983
-0.1809018,-0.154055,-0.1540513,-0.1854998,-0.1586707,-0.1586459
-0.1792127,-0.1526682,-0.1526648,-0.1838491,-0.1573144,-0.1572835
-0.1775133,-0.151271,-0.1512726,-0.1821857,-0.1559449,-0.15592
-0.1758138,-0.1498641,-0.149876,-0.1805102,-0.1545722,-0.1545421
-0.1740997,-0.1484484,-0.148446,-0.1788175,-0.153184,-0.1531557
-0.1723721,-0.1470174,-0.1470183,-0.1771175,-0.1517799,-0.1517606
-0.1706295,-0.1455762,-0.145578,-0.1754091,-0.1503688,-0.1503508
-0.1688903,-0.1441412,-0.1441489,-0.1737081,-0.1489672,-0.1489403
-0.1671799,-0.1427338,-0.1427383,-0.1720242,-0.1475886,-0.1475687
-0.1654637,-0.1413187,-0.1413231,-0.1703393,-0.1462082,-0.1461782
-0.1637294,-0.1398795,-0.1398925,-0.1686358,-0.144806,-0.1447685
-0.161975,-0.1384234,-0.13843,-0.1668973,-0.1433659,-0.1433396
-0.1601975,-0.1369439,-0.1369636,-0.1651349,-0.1419089,-0.1418908
-0.1584119,-0.1354564,-0.1354735,-0.1633587,-0.1404341,-0.1404129
-0.156611,-0.1339617,-0.1339682,-0.1615778,-0.138956,-0.1389331
-0.1548155,-0.1324603,-0.1324621,-0.1598029,-0.1374745,-0.1374546
-0.1530198,-0.1309609,-0.130954,-0.1580292,-0.1359994,-0.1359718
-0.1512053,-0.1294549,-0.1294498,-0.1562536,-0.1345124,-0.1344919
-0.14939,-0.127945,-0.1279383,-0.1544529,-0.1330249,-0.1330024
-0.147571,-0.1264214,-0.1264131,-0.1526386,-0.1315125,-0.1314887
-0.1457406,-0.124888,-0.1248846,-0.1508192,-0.1299917,-0.1299705
-0.1438936,-0.1233414,-0.123341,-0.1489876,-0.1284538,-0.1284398
-0.1420361,-0.1217779,-0.121785,-0.1471323,-0.1269009,-0.1268845
-0.1401697,-0.1202224,-0.1202298,-0.1452783,-0.1253489,-0.1253272
-0.1383086,-0.1186656,-0.1186634,-0.1434287,-0.1237994,-0.1237756
-0.1364465,-0.117109,-0.1171034,-0.1415751,-0.1222472,-0.1222174
-0.134584,-0.1155477,-0.1155339,-0.1397114,-0.120684,-0.1206536
-0.1327151,-0.1139784,-0.1139695,-0.1378478,-0.119126,-0.119097
-0.1308461,-0.112406,-0.1124028,-0.1359834,-0.1175616,-0.1175378
-0.1289677,-0.1108263,-0.11082,-0.1341008,-0.1159717,-0.1159506
-0.127065,-0.1092278,-0.1092202,-0.1321986,-0.1143637,-0.114352
-0.125144,-0.1076076,-0.1076062,-0.1302666,-0.1127383,-0.1127204
-0.1232097,-0.1059727,-0.1059675,-0.1283133,-0.1110925,-0.1110671
-0.1212601,-0.1043204,-0.1043299,-0.1263524,-0.1094333,-0.1094003
-0.1193044,-0.1026611,-0.1026733,-0.1243808,-0.1077502,-0.1077262
-0.1173342,-0.1009967,-0.1010068,-0.1223937,-0.1060631,-0.106035
-0.1153621,-0.09932172,-0.09933717,-0.1204027,-0.1043768,-0.1043472
-0.1133842,-0.09764731,-0.09767225,-0.1184119,-0.1026897,-0.102651
-0.1114286,-0.09598032,-0.09599718,-0.1164149,-0.1009908,-0.1009606
-0.109453,-0.09430978,-0.09431791,-0.1144123,-0.09929289,-0.09926343
-0.1074605,-0.09262274,-0.09262753,-0.1124055,-0.09758002,-0.09754968
-0.105459,-0.09092227,-0.09092821,-0.11038,-0.0958432,-0.09581834
-0.1034445,-0.08921327,-0.08921017,-0.1083361,-0.09409977,-0.09406914
-0.1014223,-0.08749615,-0.0874847,-0.1062749,-0.09234411,-0.0923076
-0.09941005,-0.08576669,-0.08575068,-0.104206,-0.09057678,-0.09054485
-0.0973847,-0.08404387,-0.08403295,-0.1021452,-0.08881979,-0.0887839
-0.09537269,-0.08232789,-0.08231882,-0.1001022,-0.08706727,-0.08703168
-0.09337024,-0.08061542,-0.08060738,-0.09806572,-0.08532306,-0.08529322
-0.09137512,-0.07891355,-0.07891019,-0.09603532,-0.08359831,-0.08356187
-0.08937299,-0.07720786,-0.07721011,-0.09400368,-0.08185495,-0.08182411
-0.08736032,-0.07549587,-0.07549781,-0.09194347,-0.08010019,-0.0800693
-0.08531161,-0.07376704,-0.0737602,-0.08985288,-0.07831223,-0.07828343
-0.08325123,-0.07199371,-0.07199589,-0.0877256,-0.07649139,-0.07645623
-0.08116344,-0.07020342,-0.07021075,-0.0855862,-0.07463583,-0.0746145
-0.07906239,-0.06840967,-0.0684158,-0.08343525,-0.07278398,-0.07275639
-0.07698078,-0.06662922,-0.06663983,-0.08129741,-0.07094737,-0.07092109
-0.07492959,-0.06487637,-0.06488302,-0.07919706,-0.06915739,-0.06912159
-0.07294985,-0.06318942,-0.06320246,-0.07719865,-0.06745157,-0.06742358
-0.07108191,-0.06162661,-0.06163016,-0.07534003,-0.06589939,-0.06586397
-0.06929631,-0.0601189,-0.06012676,-0.07356716,-0.06442321,-0.06439172
-0.06748211,-0.05861421,-0.0586204,-0.071776,-0.06293975,-0.06290258
-0.0656309,-0.05707698,-0.05707049,-0.06993728,-0.06138446,-0.06135911
-0.06376427,-0.05549835,-0.05549902,-0.06805361,-0.05980332,-0.05978891
-0.06187717,-0.0539124,-0.05392227,-0.06616229,-0.05822707,-0.05820191
-0.05997121,-0.05231079,-0.05231915,-0.06423809,-0.0566083,-0.05657934
-0.0580166,-0.05065855,-0.05066874,-0.06224936,-0.05492745,-0.05489115
-0.05600117,-0.04894542,-0.04895602,-0.06018913,-0.05315952,-0.0531208
-0.05393837,-0.04717931,-0.04718781,-0.05805671,-0.05131897,-0.05129074
-0.05184098,-0.04539431,-0.04539373,-0.05589648,-0.04945812,-0.0494366
-0.04976027,-0.0436023,-0.04360235,-0.05374362,-0.04760169,-0.04758439
-0.04766545,-0.04181586,-0.04181704,-0.05157527,-0.04573668,-0.04571767
-0.04553258,-0.03998285,-0.03998704,-0.04936247,-0.04381387,-0.04379806
-0.04334443,-0.03808938,-0.03809615,-0.04705836,-0.04179934,-0.04178648
-0.04108423,-0.03612557,-0.03612866,-0.04465811,-0.03969914,-0.03968749
-0.03874468,-0.03408818,-0.0340933,-0.04215442,-0.03749394,-0.03748453
-0.03633216,-0.03198348,-0.03198147,-0.03955768,-0.0352012,-0.03519306
-0.03392988,-0.02988642,-0.02988605,-0.03699493,-0.03294719,-0.03293438
-0.03165856,-0.02792182,-0.02791488,-0.03461049,-0.0308692,-0.03085641
-0.02947777,-0.02603827,-0.02603169,-0.03232911,-0.02888535,-0.02887793
-0.0272691,-0.02412122,-0.02411709,-0.02999354,-0.02685285,-0.02684698
-0.02497696,-0.0221324,-0.02212401,-0.02754941,-0.02470082,-0.02469844
-0.02260393,-0.02006428,-0.02005241,-0.0249862,-0.02244685,-0.02243765
-0.02014044,-0.01788978,-0.01788417,-0.02230229,-0.02006305,-0.02005106
-0.01757451,-0.01561539,-0.01561751,-0.01946699,-0.01752283,-0.01751672
-0.01489126,-0.01324236,-0.01323517,-0.01648881,-0.01483809,-0.01483311
-0.01213313,-0.01078022,-0.01078094,-0.01342697,-0.01207972,-0.01207085
-0.009552539,-0.008493995,-0.008494183,-0.01059214,-0.009551039,-0.009548442
-0.007234816,-0.006486413,-0.006487469,-0.008135594,-0.007396547,-0.007395241
-0.004962093,-0.004500165,-0.004511747,-0.005719313,-0.005275637,-0.005283961
-0.002565716,-0.002404256,-0.002419702,-0.00313567,-0.002995566,-0.003003972
-2.52E-05,-0.00016502,-0.000165662,-0.000361559,-0.000514766,-0.00052583
0.002662708,0.002220626,0.00221948,0.002610903,0.002169063,0.002150468
0.00548801,0.004736391,0.004740019,0.005756283,0.005022549,0.005003147
0.00844313,0.0073905,0.007390297,0.009097962,0.008054196,0.008044476
0.01154306,0.01018837,0.01019129,0.01263395,0.01128925,0.01128225
0.01478664,0.01312939,0.01312905,0.01634637,0.0147132,0.0147159
0.01814519,0.01619437,0.0161906,0.02024778,0.01830805,0.01830924
0.02161198,0.01935902,0.01936032,0.02429602,0.02205148,0.02205848
0.02517221,0.02261461,0.02261277,0.02846383,0.02591102,0.02592181
0.02880769,0.025941,0.02593916,0.03271185,0.0298661,0.02987949
0.03247846,0.02931099,0.02930828,0.03702784,0.03388866,0.03389346
0.03614518,0.03267941,0.03267499,0.04135492,0.0379057,0.03792385
0.03980893,0.03603905,0.0360422,0.04566702,0.04192451,0.04195127
0.04349035,0.03941713,0.03942694,0.05000003,0.04596291,0.04599912
0.04721792,0.04284751,0.04286977,0.05441287,0.05007225,0.05013214
0.05104288,0.04636666,0.04640929,0.05895494,0.05430587,0.05439628
0.05498085,0.049992,0.05006164,0.06364438,0.05868181,0.05881469
0.05903013,0.05371476,0.05382214,0.06849904,0.06321489,0.06338198
0.06317559,0.0575311,0.05768089,0.07349267,0.06787138,0.06808911
0.06740896,0.06142278,0.0616314,0.07859191,0.0726254,0.07291207
0.07169925,0.06537788,0.06564249,0.08378018,0.07746915,0.07783763
0.07604531,0.06938928,0.06972373,0.08906194,0.08238414,0.08285414
0.08046918,0.07345445,0.07388675,0.09442199,0.08738888,0.08797649
0.08494214,0.07759274,0.0781251,0.09988173,0.09249409,0.09321382
0.08948984,0.08179615,0.08244662,0.1054365,0.09769575,0.09858136
0.09413262,0.08610708,0.08689055,0.1111271,0.1030383,0.1041137
0.0989078,0.09055137,0.09150089,0.1169829,0.1085636,0.1098666
0.1038073,0.09513831,0.0962775,0.1230388,0.1142899,0.115864
0.1088392,0.09986438,0.1012348,0.1292731,0.1202136,0.1220993
0.1139635,0.1047175,0.1063407,0.1356463,0.1263173,0.1285633
0.1191672,0.109655,0.1115967,0.142126,0.1325544,0.1352157
0.124428,0.1146828,0.1169657,0.1486812,0.1389027,0.1420465
0.1297323,0.1197899,0.1224567,0.1552954,0.145355,0.1490396
0.1350855,0.1249859,0.1280601,0.1619703,0.1519278,0.1561991
0.1404722,0.1302494,0.1337937,0.168722,0.1586167,0.1635398
0.1459079,0.1356036,0.1396766,0.1755295,0.1654242,0.1710766
0.1514168,0.1410775,0.1457324,0.1824476,0.172401,0.1788604
0.1570347,0.1467138,0.1520166,0.1895149,0.1796189,0.1869656
0.1627666,0.1525182,0.1585467,0.1967413,0.1870663,0.1954122
0.1686014,0.1584924,0.1653125,0.2041062,0.1947571,0.204207
0.1745108,0.1646077,0.1723022,0.2115989,0.20265,0.2133172
0.180463,0.1708385,0.1794934,0.2191476,0.2106979,0.2227089
0.186459,0.1771636,0.186871,0.2267467,0.2188751,0.2323552
0.1924606,0.1835753,0.1944147,0.2343603,0.2271724,0.242249
0.1984646,0.1900696,0.2021489,0.2419997,0.2356022,0.2524056
0.2044793,0.1966579,0.21008,0.249653,0.2441652,0.262828
0.2105199,0.2033434,0.2182155,0.2573275,0.252864,0.2735537
0.216598,0.2101581,0.2265977,0.265061,0.2617477,0.2846343
0.2227452,0.2171512,0.235289,0.2729124,0.2708708,0.2961555
0.2289875,0.2243205,0.2443202,0.2808802,0.2802607,0.3081419
0.2352968,0.2316712,0.2536738,0.2889512,0.2899146,0.3205947
0.2416479,0.2391683,0.2633329,0.2970998,0.2997798,0.3334747
0.2480022,0.2467897,0.2732667,0.3052592,0.3098073,0.3467342
0.2543592,0.2544957,0.2834527,0.3133937,0.3199602,0.360344
0.2606845,0.2622861,0.2938763,0.3215058,0.3302378,0.3742862
0.2669791,0.2701593,0.3045642,0.3295802,0.3406312,0.3885707
0.2732529,0.2781077,0.3155239,0.3376331,0.3511357,0.403197
0.2795106,0.2861436,0.3267509,0.3456616,0.3617635,0.4181865
0.2857728,0.2943027,0.3383048,0.3536893,0.3725636,0.4335884
0.2920782,0.3026387,0.350258,0.3617829,0.3835941,0.449501
0.2984276,0.3111529,0.3626412,0.3699487,0.3948646,0.4659532
0.3048182,0.3198392,0.3754306,0.3781653,0.4063578,0.4829102
0.311226,0.3286692,0.3886026,0.3864074,0.4180278,0.5003164
0.3176202,0.3375911,0.4021345,0.3946235,0.4298007,0.5181351
0.3239694,0.3465788,0.415974,0.4027826,0.4416392,0.5362871
0.3302757,0.3556173,0.4301274,0.4108585,0.4535296,0.5547353
0.3365192,0.3647121,0.4445945,0.4188635,0.4654791,0.5734688
0.3427275,0.3738619,0.459389,0.4268019,0.4774752,0.5924857
0.3488865,0.3830706,0.4745333,0.4346797,0.4895165,0.6117916
0.3550408,0.3923757,0.4900748,0.4425286,0.5016551,0.6314732
0.3612249,0.4018322,0.506092,0.4504105,0.5139735,0.6515855
0.367451,0.411448,0.5226198,0.4583387,0.5264665,0.6721497
0.3736913,0.4212092,0.5396321,0.4662924,0.5390969,0.6931273
0.379939,0.4310866,0.5570945,0.4742472,0.551823,0.7144876
0.3861595,0.441027,0.5749715,0.4821635,0.5645772,0.7361602
0.3923323,0.4509945,0.5932097,0.4899954,0.5773082,0.7580687
0.3984471,0.4609953,0.6118018,0.4977371,0.5900021,0.7801877
0.4045072,0.4710015,0.6307549,0.5053982,0.602647,0.8024849
0.4105187,0.481036,0.6500788,0.5129939,0.6152405,0.8249975
0.4164863,0.4910861,0.6697822,0.5204987,0.6277957,0.8477703
0.422445,0.5011992,0.6899405,0.5279707,0.6403666,0.8708624
0.4284297,0.5114333,0.7106386,0.5354802,0.6530224,0.8943325
0.434438,0.5217858,0.7318848,0.543015,0.6657567,0.918226
0.4404692,0.5322504,0.7536833,0.5505824,0.6785496,0.9424986
0.446511,0.542787,0.7759804,0.55814,0.6913577,0.9671062
0.4525273,0.5533428,0.7987199,0.5656424,0.7041271,0.9919789
0.4584855,0.5638846,0.8218547,0.5730529,0.7168062,1.017071
0.4643967,0.5744014,0.8453792,0.5803798,0.7293805,1.042385
0.4702502,0.5849041,0.8693009,0.587611,0.7418558,1.067923
0.4760546,0.5953824,0.8936307,0.5947528,0.7542332,1.093689
0.4818161,0.6058295,0.9183778,0.6018245,0.7665156,1.119694
0.4875595,0.6163126,0.943621,0.6088616,0.7787731,1.146074
0.4933304,0.6268846,0.9694529,0.615905,0.7910641,1.172895
0.499132,0.6375543,0.9959112,0.6229861,0.8033873,1.200198
0.5049569,0.6483119,1.022966,0.6300742,0.8157393,1.227948
0.5107735,0.659112,1.050577,0.6371474,0.828097,1.25609
0.5165685,0.6699265,1.078673,0.6441686,0.8403978,1.28458
0.5223178,0.6807297,1.107189,0.6510988,0.8526086,1.313359
0.5280085,0.6914871,1.13612,0.6579359,0.8647202,1.342403
0.533648,0.7022122,1.165463,0.6646786,0.8767213,1.371723
0.5392273,0.712917,1.195226,0.6713424,0.8886319,1.401341
0.5447685,0.7236052,1.225419,0.6779357,0.900457,1.431264
0.5502969,0.7343228,1.256132,0.6844949,0.9122531,1.461584
0.5558337,0.745127,1.287452,0.6910579,0.9240864,1.492411
0.5614095,0.7560396,1.319409,0.6976502,0.9359736,1.523773